// START_AIRPORTS
Airports = { Source BRU CPH GVA BHX BRS LGW MAN NCL GOT TXL FRA HAM MUC PRG VIE BLQ FLR MXP TRN VCE LYS MRS NCE SXB TLS Sink };
// STOP_AIRPORTS
Distance = { Short, Medium, Long };

MaxSpill = 0.3;

Fleets = { 
  BAE
  AR1
  AR8
};

fleetInfo = #[ 
  BAE: #< aircrafts: 6,    //no of aircrafts per fleet
          dist: Short,     //type of fleet
          seats: 84,      //no of seats
          refuelT:12,      //Time on ground to refuel
          a: 18000,        //fixed cost param
          b: 2>#          //variable cost param
          
  AR1: #< aircrafts: 12,
          dist: Medium,
          seats: 150,
          refuelT:12,
          a: 15000,
          b: 2># 
                  
  AR8: #< aircrafts: 14,
          dist: Long,
          seats: 200,
          refuelT:12,
          a: 14000,
          b: 2>#       

]#;

//Flights in the schedule
// for every flight:
//    id    //flight id
//    depA  //departure airport
//    depT  //departure time 
//    arrA  //arrival airport
//    arrT  //arrival time 
//    dist  //long-medium-short distance flight
//    pax   //passenger demand (no of passengers)
//    price //ticket price 
//
// E.G. < 0, ABZ, 87, AMS, 337, Medium, 137, 3000>
// START_FLIGHTLEGS
flightLegs = {
< 0, BRU, 470, BHX, 545, Short, 85, 387>
< 1, BRU, 1910, BHX, 1985, Short, 85, 387>
< 2, BRU, 3350, BHX, 3425, Short, 85, 387>
< 3, BRU, 4790, BHX, 4865, Short, 85, 387>
< 4, BRU, 6230, BHX, 6305, Short, 85, 387>
< 5, BHX, 575, BRU, 650, Short, 67, 516>
< 6, BHX, 2015, BRU, 2090, Short, 67, 516>
< 7, BHX, 3455, BRU, 3530, Short, 67, 516>
< 8, BHX, 4895, BRU, 4970, Short, 67, 516>
< 9, BHX, 6335, BRU, 6410, Short, 67, 516>
< 10, BRU, 570, BHX, 645, Short, 57, 516>
< 11, BRU, 2010, BHX, 2085, Short, 60, 518>
< 12, BRU, 3450, BHX, 3525, Short, 60, 518>
< 13, BRU, 4890, BHX, 4965, Short, 60, 518>
< 14, BRU, 6330, BHX, 6405, Short, 60, 518>
< 15, BHX, 675, BRU, 745, Short, 50, 517>
< 16, BHX, 2115, BRU, 2185, Short, 74, 380>
< 17, BHX, 3555, BRU, 3625, Short, 74, 380>
< 18, BHX, 4995, BRU, 5065, Short, 74, 380>
< 19, BHX, 6435, BRU, 6505, Short, 74, 380>
< 20, BRU, 905, BHX, 980, Short, 84, 495>
< 21, BRU, 2345, BHX, 2420, Short, 84, 495>
< 22, BRU, 3785, BHX, 3860, Short, 84, 495>
< 23, BRU, 5225, BHX, 5300, Short, 84, 495>
< 24, BRU, 6665, BHX, 6740, Short, 84, 495>
< 25, BRU, 9545, BHX, 9620, Short, 84, 495>
< 26, BHX, 1010, BRU, 1085, Short, 107, 529>
< 27, BHX, 2450, BRU, 2525, Short, 107, 529>
< 28, BHX, 3890, BRU, 3965, Short, 107, 529>
< 29, BHX, 5330, BRU, 5405, Short, 107, 529>
< 30, BHX, 6770, BRU, 6845, Short, 107, 529>
< 31, BHX, 9650, BRU, 9725, Short, 107, 529>
< 32, BRU, 1115, BHX, 1190, Short, 109, 457>
< 33, BRU, 2555, BHX, 2630, Short, 109, 457>
< 34, BRU, 3995, BHX, 4070, Short, 109, 457>
< 35, BRU, 6875, BHX, 6950, Short, 109, 457>
< 36, BRU, 9755, BHX, 9830, Short, 109, 457>
< 37, BRU, 5435, BHX, 5510, Short, 69, 405>
< 38, BHX, 5540, BRU, 5615, Short, 46, 561>
< 39, BHX, 6980, BRU, 7055, Short, 79, 523>
< 40, BHX, 9860, BRU, 9935, Short, 79, 523>
< 41, BRU, 9850, BHX, 9925, Short, 60, 576>
< 42, BRU, 1210, BHX, 1285, Short, 99, 440>
< 43, BRU, 2650, BHX, 2725, Short, 99, 440>
< 44, BRU, 4090, BHX, 4165, Short, 99, 440>
< 45, BRU, 5530, BHX, 5605, Short, 99, 440>
< 46, BRU, 6970, BHX, 7045, Short, 99, 440>
< 47, BHX, 395, BRU, 470, Short, 56, 517>
< 48, BHX, 1835, BRU, 1910, Short, 42, 351>
< 49, BHX, 3275, BRU, 3350, Short, 42, 351>
< 50, BHX, 4715, BRU, 4790, Short, 42, 351>
< 51, BHX, 6155, BRU, 6230, Short, 42, 351>
< 52, BHX, 7595, BRU, 7670, Short, 42, 351>
< 53, BRU, 535, BRS, 610, Short, 30, 427>
< 54, BRU, 1975, BRS, 2050, Short, 54, 394>
< 55, BRU, 3415, BRS, 3490, Short, 54, 394>
< 56, BRU, 4855, BRS, 4930, Short, 74, 514>
< 57, BRU, 6295, BRS, 6370, Short, 74, 514>
< 58, BRS, 640, BRU, 715, Short, 42, 629>
< 59, BRS, 2080, BRU, 2155, Short, 71, 541>
< 60, BRS, 3520, BRU, 3595, Short, 71, 541>
< 61, BRS, 4960, BRU, 5035, Short, 54, 581>
< 62, BRS, 6400, BRU, 6475, Short, 54, 581>
< 63, BRU, 1115, BRS, 1190, Short, 54, 505>
< 64, BRU, 3995, BRS, 4070, Short, 54, 505>
< 65, BRU, 5435, BRS, 5510, Short, 54, 505>
< 66, BRU, 9755, BRS, 9830, Short, 54, 505>
< 67, BRU, 2555, BRS, 2630, Short, 106, 614>
< 68, BRU, 6875, BRS, 6950, Short, 106, 614>
< 69, BRS, 2660, BRU, 2730, Short, 49, 614>
< 70, BRS, 6980, BRU, 7050, Short, 49, 614>
< 71, BRS, 4100, BRU, 4170, Short, 46, 586>
< 72, BRS, 5540, BRU, 5610, Short, 46, 586>
< 73, BRS, 9860, BRU, 9930, Short, 46, 586>
< 74, BRU, 9070, LGW, 9130, Short, 71, 404>
< 75, BRU, 360, LGW, 420, Short, 85, 408>
< 76, BRU, 3240, LGW, 3300, Short, 95, 284>
< 77, BRU, 4680, LGW, 4740, Short, 78, 405>
< 78, BRU, 7560, LGW, 7620, Short, 66, 383>
< 79, LGW, 9170, BRU, 9225, Short, 96, 279>
< 80, LGW, 465, BRU, 525, Short, 40, 310>
< 81, LGW, 3345, BRU, 3405, Short, 76, 326>
< 82, LGW, 4785, BRU, 4845, Short, 53, 301>
< 83, LGW, 7665, BRU, 7725, Short, 69, 277>
< 84, BRU, 940, LGW, 1005, Short, 88, 375>
< 85, BRU, 2380, LGW, 2445, Short, 88, 375>
< 86, BRU, 3820, LGW, 3885, Short, 88, 375>
< 87, BRU, 5260, LGW, 5325, Short, 88, 375>
< 88, BRU, 6700, LGW, 6765, Short, 88, 375>
< 89, BRU, 9580, LGW, 9645, Short, 88, 375>
< 90, LGW, 1045, BRU, 1110, Short, 41, 370>
< 91, LGW, 2485, BRU, 2550, Short, 41, 370>
< 92, LGW, 3925, BRU, 3990, Short, 41, 370>
< 93, LGW, 5365, BRU, 5430, Short, 41, 370>
< 94, LGW, 6805, BRU, 6870, Short, 41, 370>
< 95, LGW, 9685, BRU, 9750, Short, 41, 370>
< 96, BRU, 8280, LGW, 8340, Short, 52, 303>
< 97, LGW, 9040, BRU, 9105, Short, 31, 382>
< 98, BRU, 505, MAN, 590, Short, 86, 559>
< 99, BRU, 7720, MAN, 7805, Short, 91, 646>
< 100, MAN, 620, BRU, 700, Short, 95, 549>
< 101, MAN, 2060, BRU, 2140, Short, 54, 659>
< 102, MAN, 3500, BRU, 3580, Short, 54, 659>
< 103, MAN, 4940, BRU, 5020, Short, 54, 659>
< 104, MAN, 6380, BRU, 6460, Short, 54, 659>
< 105, MAN, 7835, BRU, 7915, Short, 56, 516>
< 106, BRU, 810, MAN, 890, Short, 102, 480>
< 107, BRU, 2250, MAN, 2330, Short, 102, 480>
< 108, BRU, 3690, MAN, 3770, Short, 102, 480>
< 109, BRU, 5130, MAN, 5210, Short, 102, 480>
< 110, BRU, 6570, MAN, 6650, Short, 102, 480>
< 111, MAN, 920, BRU, 1000, Short, 78, 516>
< 112, MAN, 2360, BRU, 2440, Short, 78, 516>
< 113, MAN, 3800, BRU, 3880, Short, 78, 516>
< 114, MAN, 5240, BRU, 5320, Short, 78, 516>
< 115, MAN, 6680, BRU, 6760, Short, 78, 516>
< 116, BRU, 935, MAN, 1015, Short, 65, 454>
< 117, BRU, 2375, MAN, 2455, Short, 65, 454>
< 118, BRU, 3815, MAN, 3895, Short, 65, 454>
< 119, BRU, 5255, MAN, 5335, Short, 65, 454>
< 120, BRU, 6695, MAN, 6775, Short, 65, 454>
< 121, BRU, 9575, MAN, 9655, Short, 65, 454>
< 122, MAN, 1060, BRU, 1140, Short, 79, 663>
< 123, MAN, 2500, BRU, 2580, Short, 79, 663>
< 124, MAN, 3940, BRU, 4020, Short, 79, 663>
< 125, MAN, 5380, BRU, 5460, Short, 79, 663>
< 126, MAN, 6820, BRU, 6900, Short, 79, 663>
< 127, MAN, 9700, BRU, 9780, Short, 79, 663>
< 128, BRU, 1180, MAN, 1265, Short, 30, 561>
< 129, BRU, 2620, MAN, 2705, Short, 30, 561>
< 130, BRU, 4060, MAN, 4145, Short, 30, 561>
< 131, BRU, 5500, MAN, 5585, Short, 30, 561>
< 132, BRU, 6940, MAN, 7025, Short, 30, 561>
< 133, BRU, 9820, MAN, 9905, Short, 30, 561>
< 134, MAN, 405, BRU, 485, Short, 77, 665>
< 135, MAN, 1845, BRU, 1925, Short, 77, 665>
< 136, MAN, 3285, BRU, 3365, Short, 77, 665>
< 137, MAN, 4725, BRU, 4805, Short, 77, 665>
< 138, MAN, 6165, BRU, 6245, Short, 77, 665>
< 139, MAN, 7605, BRU, 7685, Short, 77, 665>
< 140, BRU, 1105, NCL, 1195, Short, 30, 517>
< 141, BRU, 3985, NCL, 4075, Short, 30, 517>
< 142, BRU, 5425, NCL, 5515, Short, 30, 517>
< 143, BRU, 6865, NCL, 6955, Short, 30, 517>
< 144, BRU, 9745, NCL, 9835, Short, 30, 517>
< 145, BRU, 2545, NCL, 2635, Short, 99, 626>
< 146, NCL, 1225, BRU, 1305, Short, 93, 675>
< 147, NCL, 4105, BRU, 4185, Short, 93, 675>
< 148, NCL, 5545, BRU, 5625, Short, 93, 675>
< 149, NCL, 6985, BRU, 7065, Short, 93, 675>
< 150, NCL, 9865, BRU, 9945, Short, 93, 675>
< 151, NCL, 2665, BRU, 2745, Short, 108, 479>
< 152, BRU, 360, CPH, 465, Short, 105, 772>
< 153, BRU, 3240, CPH, 3345, Short, 41, 719>
< 154, BRU, 4680, CPH, 4785, Short, 104, 701>
< 155, BRU, 6120, CPH, 6225, Short, 56, 774>
< 156, CPH, 495, BRU, 595, Short, 39, 913>
< 157, CPH, 3375, BRU, 3475, Short, 99, 789>
< 158, CPH, 4815, BRU, 4915, Short, 72, 920>
< 159, CPH, 6255, BRU, 6355, Short, 104, 939>
< 160, BRU, 7730, CPH, 7825, Short, 99, 715>
< 161, BRU, 830, CPH, 930, Short, 78, 598>
< 162, BRU, 2270, CPH, 2370, Short, 73, 670>
< 163, BRU, 5150, CPH, 5250, Short, 90, 594>
< 164, BRU, 6590, CPH, 6690, Short, 79, 633>
< 165, CPH, 960, BRU, 1060, Short, 63, 860>
< 166, CPH, 2400, BRU, 2500, Short, 52, 707>
< 167, CPH, 5280, BRU, 5380, Short, 81, 625>
< 168, CPH, 6720, BRU, 6820, Short, 47, 787>
< 169, CPH, 9440, BRU, 9540, Short, 75, 930>
< 170, BRU, 980, CPH, 1080, Short, 52, 746>
< 171, BRU, 2420, CPH, 2520, Short, 52, 746>
< 172, BRU, 3860, CPH, 3960, Short, 52, 746>
< 173, BRU, 5300, CPH, 5400, Short, 52, 746>
< 174, BRU, 6740, CPH, 6840, Short, 52, 746>
< 175, BRU, 9620, CPH, 9720, Short, 52, 746>
< 176, CPH, 1110, BRU, 1205, Short, 32, 841>
< 177, CPH, 9750, BRU, 9845, Short, 68, 872>
< 178, BRU, 1150, CPH, 1250, Short, 60, 828>
< 179, BRU, 2590, CPH, 2690, Short, 57, 933>
< 180, BRU, 4030, CPH, 4130, Short, 57, 933>
< 181, BRU, 5470, CPH, 5570, Short, 57, 933>
< 182, BRU, 6910, CPH, 7010, Short, 57, 933>
< 183, BRU, 9790, CPH, 9890, Short, 57, 933>
< 184, CPH, 355, BRU, 455, Short, 67, 901>
< 185, CPH, 1795, BRU, 1895, Short, 58, 880>
< 186, CPH, 3235, BRU, 3335, Short, 43, 909>
< 187, CPH, 4675, BRU, 4775, Short, 43, 909>
< 188, CPH, 6115, BRU, 6215, Short, 43, 909>
< 189, CPH, 7555, BRU, 7655, Short, 43, 909>
< 190, BRU, 480, GOT, 590, Short, 34, 728>
< 191, BRU, 1920, GOT, 2030, Short, 68, 817>
< 192, GOT, 620, BRU, 725, Short, 96, 776>
< 193, GOT, 2060, BRU, 2165, Short, 33, 935>
< 194, BRU, 880, GOT, 990, Short, 73, 1098>
< 195, BRU, 3760, GOT, 3870, Short, 73, 1098>
< 196, BRU, 9520, GOT, 9630, Short, 73, 1098>
< 197, BRU, 5200, GOT, 5310, Short, 54, 1104>
< 198, BRU, 6640, GOT, 6750, Short, 39, 834>
< 199, GOT, 1020, BRU, 1130, Short, 59, 922>
< 200, GOT, 3900, BRU, 4010, Short, 59, 922>
< 201, GOT, 9660, BRU, 9770, Short, 59, 922>
< 202, GOT, 5340, BRU, 5450, Short, 62, 967>
< 203, GOT, 6780, BRU, 6890, Short, 39, 805>
< 204, BRU, 1080, GOT, 1190, Short, 59, 1113>
< 205, BRU, 2520, GOT, 2630, Short, 59, 1113>
< 206, BRU, 3960, GOT, 4070, Short, 59, 1113>
< 207, BRU, 5400, GOT, 5510, Short, 59, 1113>
< 208, BRU, 6840, GOT, 6950, Short, 59, 1113>
< 209, GOT, 1220, BRU, 1330, Short, 77, 991>
< 210, GOT, 2660, BRU, 2770, Short, 77, 991>
< 211, GOT, 4100, BRU, 4210, Short, 77, 991>
< 212, GOT, 5540, BRU, 5650, Short, 77, 991>
< 213, GOT, 6980, BRU, 7090, Short, 77, 991>
< 214, BRU, 1195, GOT, 1300, Short, 38, 999>
< 215, BRU, 2635, GOT, 2740, Short, 38, 999>
< 216, BRU, 4075, GOT, 4180, Short, 38, 999>
< 217, BRU, 5515, GOT, 5620, Short, 38, 999>
< 218, BRU, 6955, GOT, 7060, Short, 38, 999>
< 219, BRU, 9835, GOT, 9940, Short, 38, 999>
< 220, GOT, 345, BRU, 455, Short, 35, 696>
< 221, GOT, 1785, BRU, 1895, Short, 35, 696>
< 222, GOT, 3225, BRU, 3335, Short, 35, 696>
< 223, GOT, 4665, BRU, 4775, Short, 35, 696>
< 224, GOT, 6105, BRU, 6215, Short, 35, 696>
< 225, GOT, 7545, BRU, 7655, Short, 35, 696>
< 226, BRU, 355, TXL, 445, Short, 34, 482>
< 227, BRU, 1795, TXL, 1885, Short, 98, 761>
< 228, BRU, 3235, TXL, 3325, Short, 104, 541>
< 229, TXL, 480, BRU, 565, Short, 100, 661>
< 230, TXL, 1920, BRU, 2005, Short, 88, 637>
< 231, TXL, 3360, BRU, 3445, Short, 63, 503>
< 232, BRU, 525, TXL, 615, Short, 90, 604>
< 233, BRU, 1965, TXL, 2055, Short, 90, 604>
< 234, BRU, 3405, TXL, 3495, Short, 90, 604>
< 235, BRU, 4845, TXL, 4935, Short, 90, 604>
< 236, BRU, 6285, TXL, 6375, Short, 90, 604>
< 237, BRU, 7725, TXL, 7815, Short, 90, 604>
< 238, TXL, 655, BRU, 740, Short, 80, 718>
< 239, TXL, 3535, BRU, 3620, Short, 98, 541>
< 240, TXL, 4975, BRU, 5060, Short, 98, 541>
< 241, TXL, 6415, BRU, 6500, Short, 98, 541>
< 242, TXL, 7855, BRU, 7940, Short, 98, 541>
< 243, BRU, 860, TXL, 945, Short, 68, 656>
< 244, BRU, 2300, TXL, 2385, Short, 68, 656>
< 245, BRU, 3740, TXL, 3825, Short, 68, 656>
< 246, BRU, 5180, TXL, 5265, Short, 68, 656>
< 247, BRU, 6620, TXL, 6705, Short, 68, 656>
< 248, BRU, 8060, TXL, 8145, Short, 68, 656>
< 249, BRU, 9500, TXL, 9585, Short, 68, 656>
< 250, TXL, 980, BRU, 1065, Short, 49, 656>
< 251, TXL, 2420, BRU, 2505, Short, 49, 656>
< 252, TXL, 3860, BRU, 3945, Short, 49, 656>
< 253, TXL, 5300, BRU, 5385, Short, 49, 656>
< 254, TXL, 6740, BRU, 6825, Short, 49, 656>
< 255, TXL, 8180, BRU, 8265, Short, 49, 656>
< 256, TXL, 9620, BRU, 9705, Short, 49, 656>
< 257, BRU, 945, TXL, 1030, Short, 48, 766>
< 258, BRU, 2385, TXL, 2470, Short, 48, 766>
< 259, BRU, 3825, TXL, 3910, Short, 48, 766>
< 260, BRU, 5265, TXL, 5350, Short, 48, 766>
< 261, BRU, 6705, TXL, 6790, Short, 48, 766>
< 262, BRU, 9585, TXL, 9670, Short, 48, 766>
< 263, TXL, 1060, BRU, 1150, Short, 80, 746>
< 264, TXL, 2500, BRU, 2590, Short, 80, 746>
< 265, TXL, 3940, BRU, 4030, Short, 80, 746>
< 266, TXL, 5380, BRU, 5470, Short, 80, 746>
< 267, TXL, 6820, BRU, 6910, Short, 80, 746>
< 268, TXL, 9700, BRU, 9790, Short, 80, 746>
< 269, BRU, 1115, TXL, 1205, Short, 77, 759>
< 270, BRU, 2555, TXL, 2645, Short, 77, 759>
< 271, BRU, 3995, TXL, 4085, Short, 77, 759>
< 272, BRU, 5435, TXL, 5525, Short, 77, 759>
< 273, BRU, 6875, TXL, 6965, Short, 77, 759>
